"GEOID","Population","Housing_Units"
"060070004032",1933,857
"060070004041",2910,1100
"060070004042",1160,524
"060070005011",1047,453
"060070005012",1183,463
"060070005013",816,319
"060070005014",285,111
"060070005015",1608,591
"060070005021",828,345
"060070005022",1411,499
"060070005023",1436,756
"060070005024",1225,546
"060070006011",979,406
"060070006012",767,351
"060070006013",1640,664
"060070006031",645,309
"060070006032",722,378
"060070006033",2083,457
"060070006041",858,259
"060070006042",1167,678
"060070006043",744,284
"060070006044",793,351
"060070006045",1009,410
"060070007001",1196,689
"060070007002",1318,626
"060070007003",1538,721
"060070007004",1029,554
"060070008001",981,396
"060070008002",844,332
"060070008003",1043,399
"060070008004",1254,613
"060070008005",865,342
"060070008006",639,260
"060070009011",2799,1197
"060070009031",1265,494
"060070009032",1208,519
"060070009033",2440,955
"060070009034",2129,1166
"060070009041",2375,1026
"060070009042",1731,775
"060070009043",953,407
"060070009044",1272,780
"060070010001",816,380
"060070010002",663,267
"060070010003",634,322
"060070010004",672,310
"060070010005",689,392
"060070010006",1505,863
"060070011001",945,371
"060070011002",1215,566
"060070011003",1044,434
"060070011004",638,329
"060070011005",726,354
"060070012001",1020,590
"060070012002",828,388
"060070012003",810,330
"060070012004",830,383
"060070013001",1278,474
"060070013002",921,384
"060070013003",1035,363
"060070013004",845,377
"060070014001",2270,818
"060070014002",1323,531
"060070014003",1053,390
"060070014004",1497,578
"060070015001",1168,465
"060070015002",1239,470
"060070015003",1694,677
"060070015004",812,321
"060070015005",591,224
"060070016011",1224,872
"060070016012",488,222
"060070016021",1326,598
"060070016022",736,386
"060070016023",1678,776
"060070017021",137,75
"060070017022",264,127
"060070017023",2042,946
"060070017024",1131,500
"060070017031",433,167
"060070017032",1308,602
"060070017041",651,362
"060070017042",897,385
"060070017043",1713,702
"060070018001",303,152
"060070018002",108,54
"060070018003",138,91
"060070018004",167,82
"060070018005",124,56
"060070019001",90,49
"060070019002",203,88
"060070019003",215,142
"060070019004",167,91
"060070020001",138,68
"060070020002",101,50
"060070020003",159,71
"060070020004",130,68
